Company Code 1710                                                                      G/L Account Balances                                                                     Time 17:35:48     Date  07/27/2024
Palo Alto          Ledger 0L                                                                                                                                                    RFSSLD00/KF654    Page           1
Carryforward Periods 00-00 2022 Reporting Periods 01-04 2022

		CoCd	G/L acct	Short Text	Crcy	BusA	           Balance Carryforward	       Balance of Prior Periods	 Debit Blnce of Reportng Period	  Credit Balance Reporting Per.	            Accumulated Balance

		1710	10010000	Petty Cash	USD		                      9,893.49	                          0.00	                          0.00	                     10,000.00	-106.51

		1710	10020000	Petty Cash Journal	USD		-420.00	                          0.00	                          0.00	                          0.00	-420.00

		1710	11001000	Bank1 Main Account	USD		-3,359,423.87	                          0.00	                     12,320.00	                        302.14	-3,347,406.01

		1710	11001010	Bank1 Cash Payment	USD		                      1,000.00	                          0.00	                      1,000.00	                          0.00	                      2,000.00

		1710	11001020	Bank1 Bank Transfer	USD		-230,929.45	                          0.00	                          0.00	                          0.00	-230,929.45

		1710	11001030	Bank1 Other Transfer	USD		-100.00	                          0.00	                          0.00	                          0.00	-100.00

		1710	11001050	Bank1 Check Out	USD		-20,180.91	                          0.00	                          0.00	                          0.00	-20,180.91

		1710	11001060	Bank1 Check In	USD		                      4,040.01	                          0.00	                          0.00	                          0.00	                      4,040.01

		1710	11001080	Bank1 Cash Receipt	USD		                      2,067.72	                          0.00	                          0.00	                          0.00	                      2,067.72

		1710	11001090	Bank1 Techn. Account	USD		                      3,573.00	                          0.00	                          0.00	                          0.00	                      3,573.00

		1710	11001100	Bank1 Foreign Currcy	USD		-29,166.67	                          0.00	                          0.00	                          0.00	-29,166.67

		1710	11001200	Bank1 Lockbox	USD		                        333.40	                          0.00	                          0.00	                          0.00	                        333.40

		1710	11002000	Bank2 Main Account	USD		                  5,479,373.28	                          0.00	                          0.00	                          0.00	                  5,479,373.28

		1710	11002020	Bank2 Bank Transfer	USD		-1,500.00	                          0.00	                          0.00	                          0.00	-1,500.00

		1710	11002080	Bank2 Cash Receipt	USD		                    119,172.00	                          0.00	                          0.00	                          0.00	                    119,172.00

		1710	11003000	Current account	USD		                          0.00	                          0.00	                    200,000.00	                          0.00	                    200,000.00

		1710	12010000	Shrt Trm Investments	USD		                          0.00	                          0.00	                          0.00	                      1,000.00	-1,000.00

		1710	12100000	General AR(Domestic)	USD		                 32,445,115.26	                          0.00	                      1,971.55	                     22,614.66	                 32,424,472.15

		1710	12100100	Rcvbls Domestic OTA	USD		                        184.10	                          0.00	                          0.00	                          0.00	                        184.10

		1710	12102000	Rcvbls Domestic Adj	USD		                      5,500.00	                          0.00	                          0.00	                          0.00	                      5,500.00

		1710	12110000	Other Down Payments	USD		                        100.00	                          0.00	                          0.00	                          0.00	                        100.00

		1710	12119000	Dpaymnt Request Vend	USD		-743,278.12	                          0.00	                          0.00	                        616.00	-743,894.12

		1710	12120000	Rcvbls Foreign	USD		                     11,900.00	                          0.00	                          0.00	                          0.00	                     11,900.00

		1710	12401000	Ind Val Adjmnt Rcvbl	USD		                          0.00	                          0.00	                     10,390.11	                      2,066.67	                      8,323.44

		1710	12531000	A/R - Unappl Checks	USD		-333.40	                          0.00	                          0.00	                          0.00	-333.40

		1710	12550000	Unbilled Revenue	USD		-33,850.00	                          0.00	                          0.00	                          0.00	-33,850.00

		1710	12561000	Prepaid_Expenses	USD		                      3,050.00	                          0.00	                          0.00	                          0.00	                      3,050.00

		1710	13100000	Inventory Raw Mat.	USD		                  1,301,877.30	                          0.00	                     52,662.35	                     10,220.00	                  1,344,319.65

		1710	13100900	Inv. Reval. Raw Mat.	USD		-110.00	                          0.00	                      2,000.00	                          0.00	                      1,890.00

		1710	13200000	Inventory WIP	USD		                      2,835.98	                          0.00	                          0.00	                          0.00	                      2,835.98

		1710	13300000	Inventory Semi Fin	USD		                    842,387.67	                          0.00	                         45.00	                         45.00	                    842,387.67

		1710	13400000	Inventory FinishedGd	USD		                  5,627,382.74	                          0.00	                     46,327.64	                        130.00	                  5,673,580.38

		1710	13600000	Inventory TradingGd	USD		              6,904,970,674.80	                          0.00	                     14,716.65	                          0.00	              6,904,985,391.45

		1710	13600900	Invent.Rev.TradingGd	USD		-1,770.50	                          0.00	                          0.00	                          0.00	-1,770.50

		1710	13701400	WIP Def Rev	USD		-4,402,347.85	                          0.00	                          0.00	                          0.00	-4,402,347.85

		1710	13711400	WIP Acc Rev	USD		                  4,401,708.70	                          0.00	                          0.00	                          0.00	                  4,401,708.70

		1710	15200000	Prepayments Sal/Wag	USD		-200.00	                          0.00	                          0.00	                          0.00	-200.00

		1710	16001000	#####	USD		                      6,000.00	                          0.00	                 14,863,000.00	                          0.00	                 14,869,000.00

		1710	16002000	Machinery & Equipmnt	USD		                     10,360.00	                          0.00	                          0.00	                          0.00	                     10,360.00

		1710	16004000	####	USD		                     28,428.48	                          0.00	                    601,000.00	                          0.00	                    629,428.48

		1710	16005000	Office Equipment	USD		                      1,000.00	                          0.00	                          0.00	                          0.00	                      1,000.00

		1710	16006000	Furniture & Fixtures	USD		                      1,100.00	                          0.00	                     10,000.00	                          0.00	                     11,100.00

		1710	16007000	Computer HW&Equipmnt	USD		                    170,300.00	                          0.00	                          0.00	                          0.00	                    170,300.00

		1710	16008000	Computer Software	USD		                      9,000.00	                          0.00	                          0.00	                          0.00	                      9,000.00

		1710	16009000	Assets under Constr.	USD		                      5,130.00	                          0.00	                          0.00	                          0.00	                      5,130.00

		1710	16014100	Clrng Asset Acquisit	USD		-41,000.00	                          0.00	                          0.00	                 15,464,000.00	-15,505,000.00

